trial,seed,object_class,detected_x,detected_y,detected_z,gt_x,gt_y,gt_z,error_x,error_y,error_z,error_total
38,1038,box,nan,nan,nan,0.06910030461688332,0.08935982449895313,0.48,nan,nan,nan,nan
38,1038,mug,0.07347388332649588,0.11805808968478138,0.46813503102592124,0.1607731149264397,-0.19174199349639745,0.45999999999999996,0.08729923159994382,0.3098000831811788,0.00813503102592128,0.3219680513759069
39,1039,washer,-0.013086474036938377,0.11887620200276033,0.42249765908112624,-0.013631704532952538,0.11376421337102105,0.426,0.000545230496014161,0.005111988631739284,0.0035023409188737475,0.006220618616892771
39,1039,box,0.09530662456926804,0.1977617451888526,0.45932910152647566,0.0918651882833931,0.16475991877145313,0.48,0.003441436285874941,0.03300182641739946,0.020670898473524324,0.03909283916904286
39,1039,mug,0.09530662456926804,0.1977617451888526,0.45932910152647566,-0.07985038740077123,0.1416046724497697,0.45999999999999996,0.17515701197003927,0.05615707273908288,0.0006708984735243062,0.183940332079881
40,1040,washer,0.09956592428266249,-0.0035268875685913192,0.42108547766434157,0.09908164538303477,-0.009543266313666143,0.426,0.0004842788996277242,0.006016378745074824,0.004914522335658422,0.007783564032273279
40,1040,box,nan,nan,nan,-0.08344501685108503,0.09753195742569248,0.48,nan,nan,nan,nan
40,1040,mug,-0.08855091816619479,0.12201980755184183,0.4631886460810847,0.1590880755863156,0.10512495257109383,0.45999999999999996,0.2476389937525104,0.016894854980747998,0.0031886460810847117,0.24823512002818376
41,1041,washer,-0.14571155515050754,0.035798720742521606,0.4168932699031127,-0.14349832690910153,0.02556278005583973,0.426,0.002213228241406018,0.010235940686681877,0.009106730096887283,0.013878234543607457
41,1041,box,0.10546331370526471,-0.03276628185493258,0.45575548736691895,-0.062315590001986734,0.191841003245233,0.48,0.16777890370725146,0.2246072851001656,0.024244512633081028,0.2814000523135876
41,1041,mug,-0.06572458138499833,0.22552078402505626,0.46026061806805374,0.13341189891645952,-0.038157971800238,0.45999999999999996,0.19913648030145786,0.26367875582529426,0.0002606180680537751,0.33042683302390174
42,1042,washer,-0.10693077406439301,0.08029930526384277,0.452262187816611,-0.05390598789776288,-0.1420260992741752,0.426,0.05302478616663013,0.22232540453801797,0.026262187816610993,0.23006502550349792
42,1042,box,0.10149534264832821,-0.11535191183602672,0.4545282287729622,0.09616260641231286,-0.1353969088071783,0.48,0.005332736236015351,0.020044996971151585,0.02547177122703781,0.03284891335765825
42,1042,mug,0.10149534264832821,-0.11535191183602672,0.4545282287729622,-0.06956724502756065,0.0714335594279959,0.45999999999999996,0.17106258767588886,0.18678547126402262,0.005471771227037792,0.2533400115616466
43,1043,washer,0.01601961131402649,0.19339828388002422,0.42031852188704644,0.015385613167427509,0.18302302535646953,0.426,0.0006339981465989797,0.010375258523554698,0.005681478112953553,0.011845975545663414
43,1043,box,-0.08282195797136294,-0.024898449727419503,0.45689978856922076,-0.13937724982540478,0.1751541141702675,0.48,0.056555291854041845,0.200052563897687,0.023100211430779227,0.20917253435114444
43,1043,mug,-0.1483981673176468,0.2139294929578704,0.4559966590769142,-0.05282639493125497,-0.030434456532322907,0.45999999999999996,0.09557177238639183,0.2443639494901933,0.004003340923085741,0.26241899745648845
44,1044,washer,-0.11699391183179285,-0.03827144774862201,0.41897286540607553,-0.11527414925722038,-0.04746971163205585,0.426,0.0017197625745724726,0.009198263883433838,0.007027134593924456,0.011702404128353853
44,1044,box,0.05463771354418338,0.06640790545371189,0.46512433764864886,0.05282088320142425,0.0488085843862453,0.48,0.001816830342759132,0.01759932106746659,0.014875662351351127,0.023115412713632193
44,1044,mug,0.05303314630596236,0.06869337263994107,0.4655133392151686,0.15641546409971235,-0.11074801219060255,0.45999999999999996,0.10338231779374998,0.17944138483054362,0.005513339215168611,0.20716541972928948
45,1045,washer,0.07609689240097799,0.016470171328878402,0.4229418573129641,0.07636689263496163,0.01403697855863012,0.426,0.00027000023398364437,0.0024331927702482825,0.003058142687035914,0.003917341429823418
45,1045,box,nan,nan,nan,-0.008348585470826564,0.10392408526364955,0.48,nan,nan,nan,nan
45,1045,mug,-0.00907652973942782,0.12733738453419152,0.46383914151262107,-0.11370727029269823,0.05594106279360955,0.45999999999999996,0.1046307405532704,0.07139632174058197,0.0038391415126211026,0.12672713061678786
46,1046,washer,-0.15596685461725682,-0.127039924809963,0.4053010560199583,-0.14947059625035278,-0.14255547996495427,0.426,0.00649625836690404,0.015515555154991256,0.020698943980041684,0.02667170985193957
46,1046,box,-0.08115118015715599,0.1918094666213946,0.4608493452432598,-0.07756039993297209,0.1600181947469046,0.48,0.0035907802241838954,0.03179127187448999,0.01915065475674016,0.03728707882937443
46,1046,mug,-0.08294888512656692,0.19068980977920658,0.46156008723086384,0.169873300912601,0.0149980030767764,0.45999999999999996,0.25282218603916795,0.17569180670243018,0.0015600872308638714,0.3078783892515934
47,1047,washer,0.09308362551892557,0.17894018335359213,0.4184327327312978,0.0906874083278705,0.16760243447375273,0.426,0.0023962171910550667,0.011337748879839404,0.007567267268702216,0.013840156805649978
47,1047,box,0.10366257037612142,-0.017037768065009062,0.4603060753652645,0.10046112052770181,-0.038207162034381736,0.48,0.0032014498484196074,0.021169393969372674,0.01969392463473546,0.029090259360842734
47,1047,mug,0.10366257037612142,-0.017037768065009062,0.4603060753652645,-0.019102411765703212,0.1249071931750218,0.45999999999999996,0.12276498214182463,0.14194496124003086,0.0003060753652645576,0.18766914116030264
48,1048,washer,0.02026264985231291,0.01804908382043735,0.4260799190676225,0.019583473400972412,0.018316831732992478,0.426,0.0006791764513404963,0.0002677479125551274,7.991906762250256e-05,0.0007344090509401064
48,1048,box,-0.063610572270065,0.15821033142916985,0.4626286238631614,-0.05975353004105628,0.13293020083239654,0.48,0.0038570422290087197,0.02528013059677331,0.01737137613683859,0.030914826323849787
48,1048,mug,-0.063610572270065,0.15821033142916985,0.4626286238631614,0.10609169244882768,0.19469565243256315,0.45999999999999996,0.1697022647188927,0.0364853210033933,0.002628623863161428,0.17359996245061737
49,1049,washer,0.07862860844408764,0.14548193256876396,0.4212351076039479,0.07507644096775934,0.13801898201277096,0.426,0.003552167476328305,0.007462950555992998,0.004764892396052101,0.009540320976101167
49,1049,box,-0.030270081107857286,-0.04508970349816038,0.46538416173535885,-0.029228480046097266,-0.06026217497974526,0.48,0.0010416010617600203,0.015172471481584876,0.014615838264641134,0.021092926582376232
49,1049,mug,-0.030270081107857286,-0.04508970349816038,0.46538416173535885,0.07796301248417531,-0.13368229875776044,0.45999999999999996,0.10823309359203259,0.08859259525960006,0.005384161735358883,0.13997156740183164
